#TYPE Selected.System.Management.ManagementObject
"Name","PathName"
"VBoxSDS","""C:\Program Files\Oracle\VirtualBox\VBoxSDS.exe"""
"vds","C:\Windows\System32\vds.exe"
"vmcompute","C:\Windows\system32\vmcompute.exe"
"vmicguestinterface","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmicheartbeat","C:\Windows\system32\svchost.exe -k ICService -p"
"vmickvpexchange","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmicrdv","C:\Windows\system32\svchost.exe -k ICService -p"
"vmicshutdown","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmictimesync","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"vmicvmsession","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmicvss","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"VSInstallerElevationService","C:\Program Files (x86)\Microsoft Visual Studio\Installer\VSInstallerElevationService.exe"
"VSS","C:\Windows\system32\vssvc.exe"
"VSStandardCollectorService150","""C:\Program Files (x86)\Microsoft Visual Studio\Shared\Common\DiagnosticsHub.Collection.Service\StandardCollector.Service.exe"""
"W32Time","C:\Windows\system32\svchost.exe -k LocalService"
"WaaSMedicSvc","C:\Windows\system32\svchost.exe -k wusvcs -p"
"WalletService","C:\Windows\System32\svchost.exe -k appmodel -p"
"WarpJITSvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"WavesAudioService","C:\Windows\System32\DriverStore\FileRepository\wavesapo10de.inf_amd64_f7373b847419c8d1\WavesAudioService.exe"
"WavesSysSvc","C:\Windows\System32\DriverStore\FileRepository\wavesapo10de.inf_amd64_f7373b847419c8d1\WavesSysSvc64.exe"
"wbengine","""C:\Windows\system32\wbengine.exe"""
"WbioSrvc","C:\Windows\system32\svchost.exe -k WbioSvcGroup"
"Wcmsvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"wcncsvc","C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"WdiServiceHost","C:\Windows\System32\svchost.exe -k LocalService -p"
"WdiSystemHost","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
